research_position,city_work_in,research_topic,perceived_skill_r,perceived_skill_data_analysis,perceived_skill_programming,perceived_skill_data_management,perceived_skill_git,perceived_skill_rmd,previously_used_stat_programs,course_expectations,expectations_match_syllabus,matched_assumptions,accept_conduct,feedback_worked_well,feedback_to_improve
PhD student,Odense,The impact of hypoglycaemia on the quality of life of adults with type 1 diabetes,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,"SPSS, Excel",I expect to learn how to conduct some basic statistical analyses in RStudio. I would like to be able to apply these skills later in the year when I have some data to work with for a big data project.,Yes,Yes - I have taken the introductory course and have a little amount of R/Git knowledge,Yes,It was easy enough to set up the packages and project,Encouragement to open the survey before beginning
PhD student,Copenhagen,Genetic Epidemiology,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner-Intermediate,Very briefly SAS,"Becoming more familiar with R, especially the functions, plus being better at using Git and make reproducible data analysis","Yes, very much :)","I am a researcher in the epidemiological field, working with diabetes and metabolism. I do quantitative data analysis in R, and I believe I am familiar with the June R course, despite I was not there as a participant,  but a helper :)",Yes,Always very well-described. Thanks!,Pictures of kittens.
Postdoc,Copenhagen,Liver metabolism,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner,"SPSS, Matlab, Excel, Graphpad prism",I would like to further develop my R skills and to become more aware of version control with Git,"I think so, yes","I think so. I did not participate in the introductory R course, but I followed one during Corona lockdown. I have also followed an online course about Tidyverse and setup a Github account",Yes,The coding examples make it very easy to follow,Maybe some more concrete examples about how to use version control in our daily work
PhD student,Copenhagen,"Interleukin-6, energy metabolism",Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,"Excel, Graphpad Prism",How to wrangle and analyse data efficiently and reproducibly,Yes,"Yes, I am an endocrinologist/diabetologist researcher, currently getting data from my first study for analysis and have practised R a bit after taking some beginners courses online and at Copenhagen University.",Yes,Everything was written very clearly overall.,Cannot think of anything for now.
Postdoc,Copenhagen,Metagenomics and multi-omics integration in T2D,Intermediate-Advanced,Intermediate,Intermediate,Intermediate,Beginner-Intermediate,Intermediate,"Python, Excel","To improve my R skills, specially regarding the annotation, planning and reporting of my code writing and modifications.",yes,"Yes, I mainly work with data analysis, using R, thus I have certain experience on the language, although not any specific requirements have been implemented yet on the version control in my working place, for which my knowledge on this section of the language is limited.",Yes,Installation instructions are easy to follow.,"Text distribution could be improved. For example, I created a n RStudio project form the start to later realize that I was expected to create it by specific code typing so that the rest of the functions could work appropriately."
Postdoc,Copenhagen,Metagenomic analysis of gut microbiome in relation to type 2 diabetes,Beginner-Intermediate,Intermediate,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,"Python, Excel, PERL","I wish to be able to write codes and create pipelines for my analysis that is more reproducible, readable, and that can be easily re-used for my future self and for my collaborators and colleagues",Yes,I am researcher working on metagenomic analysis of gut microbiome in relation to type 2 diabetes,Yes,The instructions in the pre-course tasks materials were clear and easy to follow.,Nothing that I can think of right now.
PhD student,Aalborg,Non-alcoholic fatty liver disease and extracellular vesicles,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,SPSS,"As I am very much self-taught when it comes to R and programming I often have the mentality that as long at the syntax do what I wish of it, it must be perfect. This is especially true for data-wrangling, where I somehow always end up with very messy raw-data.  I hope that this course might instil upon me a more official and simpler way to go about data-analysis (especially wrangling) using R. And also give me some pointers and critique  my not-optimal way of writing syntax.",My expectations matches somewhat.,It match with me somewhat.,Yes,I had most of it up and running already. But it seemed like a good way to get people up to date with stuff.,"I would personally prefer installing the packages and running commands manually using something similar of a R-script file compared to a companion package (R3). This is as I prefer to know what exactly I am doing. Additionally, we ran some functions from the usethis package, without an explanation off the function. I would have appreciated a short description of the functions before having to run them."
Postdoc,Copenhagen,"Epidemiology, social inequality, diabetes",Beginner-Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner-Intermediate,SAS,I would like to improve my R-skills and how to produce well-documented code.,Yes,Mostly. I am not familiar with tidyverse or Git but will go through the material from the introduction course before the course.,Yes,It worked well. Fair to refer to the material for the introduction course.,"I was unsure whether my output from r3::check_project_setup() looks as it is supposed to.This was my first time installing Git and first there was no Git icon in RStudio, which confused me a lot. It appeared when I created my first project. A comment about this would have been helpful :-)"
PhD student,Copenhagen,Diabetes epidemiology,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Intermediate,"SAS, SPSS, Excel",Learn RBe better at data management and cleaningBeing more reproducible in my codingLearn version control,yes,Yes. I am i phd student within diabetes epidemiology. I have done the DDA R  introductory course and have been doing data management and cleaning on the register data that I use in Rstudio.,Yes,Everything worked well!,Nothing
Postdoc,Copenhagen,"Diet, genetics, and metabolic diseases of Inuit",Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,"SAS, R",get hands-on experience on how to work on shared projects in a smart way,yes,Somehow - I don't have experience with Git/Github,Yes,"specific, short tasks to be done.","Not easy to figure out what the problem is when getting errors in R. The webpage for the intro course is very similar to the one for this course, and I got them mixed up several times as the webpage links to the page for the first course."
PhD student,Copenhagen,Investigating prevalence and risk factors of diabetic neuropathy in Greenlandic Inuit,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner,SAS,I expect to improve my ability to keep order and overview of my work in R. Besides that I hope to become more familiar with R markdown and reproducibility and documentation in general.,"Yes, however I also think I would have benefitted of the introduction course.","Yes, I see myself as a researcher with a little or intermediate experience in R.",Yes,Your instructions were very clear and understandable.,Maybe more helping information such as 'If it does not work try to restart the programme' or 'delete the project and try again'. I spent a lot of time trying to solve errors and the solutions were very simple.
PhD student,Odense,Psychiatric disorders and incident type 2 diabetes,Beginner,Intermediate,Beginner,Intermediate,Beginner,Beginner,"SPSS, Excel",I hope to become more  confident when working within R.,Yes,Yes. I have been trough the prior course beforehand and want to explore and learn more elements within R to be able to produce more open and reproducible data analysis,Yes,Good to make sure the different elements are updated and ready for the course,"I was a bit unsure regarding the rtool package, whether it was installed correctly."
Postdoc,Odense,psychology and diabetes,Beginner-Intermediate,Intermediate,Beginner,Intermediate,Beginner,Beginner,"SPSS, Excel",I would like to become more confident using R and learn more about open science so I can apply these principles in my own work.,yes,yes- I am a research in the diabetes area who regularly conducts quantitative data analysis. I attended the intro R course in June.,Yes,It all ran smoothly,no issues.
PhD student,Odense,The day-to-day impact of hypoglycaemia,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,"Stata, R","Learn more about how to make my data and analyses reproducible (with use of Git and Github). Last course I struggled a bit with the data import, so I look forward to this step - and in more details learn how to clean datasets.",Yes.,"Yes it matches well. I've taken the intro course, but still consider myself a beginner with R. I have since the last time used R a bit, and gotten a bit more familiar with R studio. However, Github and Git I haven't worked much with since the intro course.",Yes,"Think its a really good idea with the check functions, to see if our current versions, installations etc. actually worked correctly. Works fine with linking back to the intro course description. Its a good way to go back and look at stuff we have already worked with to remind yourself on how the things worked.","Think it all worked fine, one small think that I couldn't get to work when I went back and practiced a few things from the the intro course was: when I go back to read the Version control with Git I couldn't find the page you have on your screenshot for figure 8.8 in my Github account - especially I was curious on finding the ...or push an existing repository from the command line code to put into the R-studio terminal. I assume that when we have created a new R project (LearnR3) this can later be linked with Github with use of that code from Github - I just couldn't seem to find it. But I guess we might do this together in the intermediate course."
PhD student,Copenhagen,Genetic epidemiology and SGLT2,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner-Intermediate,Stata,"I expect to learn new ways of using R and improve my systems and organization of files. Also, I hope to improve my programming skills.",Yes,"I have not previously used Git, but I have wanted to learn it for some time. I consider myself very familiar with some tidyverse packages such as dplyr and ggplot. I have taught myself most of what I know of R and definitely lack proper systems and style.",Yes,The thorough introductory material and access to material from the previous course.,Nothing.
Postdoc,Copenhagen,Genetics of liver disease,Intermediate,Intermediate-Advanced,Beginner-Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,"Excel, Graphpad prism, flow-jo (flow cytometry data)",I expect to learn better data management practices to use for faster and more reproducible data management! And to master my canadian pronounciation of the word out.,"Yes! (second point not exactly spelled out, but I expect it)","Yes - researcher working in the field of metabolism, with experience in data analysis using R and RStudio and the tidyverse, and a little Git.",Yes,The step-by-step instructions,"It's super frustrating for non-computer-experts when program/package installation does not work and consequently takes hours. I had issues with updating the package xfun. I needed to delete it from both my programfiles and user R folder in order to finally install r3. Not sure if anything can be improved here, except maybe allow installation of parts of the r3 package and then be able to go back and sort out the rest later. As it is, the installation is terminated until ALL packages can be correctly installed/updated.Also, I couldnâ€™t make this line of code work: prodigenr::setup_project(~/Desktop/LearnR3)It *does* create the project, but not all the subfolders, which causes problems in the next step. I ended up deleting the folder on the desktop and creating the project manually."
PhD student,Copenhagen,Genetics associations with circulation gut hormones concentrations in childhood obesity and Greenland Inuit populations,Intermediate-Advanced,Intermediate,Beginner-Intermediate,Intermediate,Beginner,Intermediate,"SPSS, Python","I would love to be able to save time. I am usually performing data analysis in the same way put for different cohorts or projects. Therefore, I would like to streamline everything better, make it more reproducible and get better at writing functions.",Yes,"Yes, I think so. I am finally looking for a course that goes beyond the beginner level of R. Not only that, is focused on reproducibility as this course outlines.",Yes,Having this pre-course material to begin with. It was great to have everyone set up what is needed for the course beforehand.,"As of right now I see no areas for improvement. Very well though out! Also, not expecting too much in the pre-course assignment, due to people's existing workload. This was very feasible."
Postdoc,Copenhagen,Transnational Type 1 diabetes,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Excel,"Learn to use R in my daily work, specially use it for data handling with main focus on Transcriptomics analysis",Yes,Yes,Yes,The steps to follow for Pre-course tasks are clear,Maybe to soon to say now :)
Postdoc,Odense,Adipose tissue metabolism,Beginner,Beginner-Intermediate,Beginner,Intermediate,Beginner,Beginner,"SPSS, Excel","In the first course, I've learned the basics but I could not implement the gatherings to my own research. I hope that this course would improve my knowledge and let me to use R in analyzing my experiments and data.",Yes,"Yes, mostly. I am a researcher in metabolism field and working on metabolism and related diseases. If I would be capable with those courses, I will be doing some quantitative data analysis. I ave taken the previous course and have some beginner level experience in R, Rstudio and tidyverse.",Yes,All the instructions detailed in step by step worked well.,"Not your side but in general, IT services of all the universities should be improved :). It took one hour for me to complete this easy and clear instructions because I needed to enter my password in every step."
PhD student,Copenhagen,Effectiveness of a diabetes education in the Psychiatry,Beginner-Intermediate,Intermediate,Beginner-Intermediate,Intermediate,Beginner,Beginner-Intermediate,SPSS,"How to have a more tidy and set up reproducible codes in Markdown and how to use Github for version control, better data handling in R",Yes,I havn't completed the beginner course,Yes,It was great that you referred us back to the previous course in case we hav'nt completed this.,I could'nt complete the New project part as neither of the descriptions worked
