id,survey_item,response
3bc0019edc,I think I learned a lot from this course,Strongly agree
3bc0019edc,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
3bc0019edc,I think the content on the website clearly communicated the concepts,Strongly agree
3bc0019edc,I think the instructors clearly communicated the concepts,Agree
3bc0019edc,I think there was good alignment between the learning activities,Strongly agree
3bc0019edc,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
3bc0019edc,"In general, I think this is a good course",Strongly agree
2d2be6564b,I think I learned a lot from this course,Agree
2d2be6564b,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
2d2be6564b,I think the content on the website clearly communicated the concepts,Agree
2d2be6564b,I think the instructors clearly communicated the concepts,Agree
2d2be6564b,I think there was good alignment between the learning activities,Strongly agree
2d2be6564b,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
2d2be6564b,"In general, I think this is a good course",Strongly agree
f3f8a54776,I think I learned a lot from this course,Strongly agree
f3f8a54776,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
f3f8a54776,I think the content on the website clearly communicated the concepts,Strongly agree
f3f8a54776,I think the instructors clearly communicated the concepts,Agree
f3f8a54776,I think there was good alignment between the learning activities,Strongly agree
f3f8a54776,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
f3f8a54776,"In general, I think this is a good course",Strongly agree
3d1419b1e3,I think I learned a lot from this course,Agree
3d1419b1e3,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
3d1419b1e3,I think the content on the website clearly communicated the concepts,Strongly agree
3d1419b1e3,I think the instructors clearly communicated the concepts,Agree
3d1419b1e3,I think there was good alignment between the learning activities,Agree
3d1419b1e3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
3d1419b1e3,"In general, I think this is a good course",Agree
a835f6de5d,I think I learned a lot from this course,Strongly agree
a835f6de5d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
a835f6de5d,I think the content on the website clearly communicated the concepts,Strongly agree
a835f6de5d,I think the instructors clearly communicated the concepts,Strongly agree
a835f6de5d,I think there was good alignment between the learning activities,Strongly agree
a835f6de5d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
a835f6de5d,"In general, I think this is a good course",Strongly agree
e94a2d23b1,I think I learned a lot from this course,Neutral
e94a2d23b1,I think there was a good mix of learning activities that encouraged my active participation,Agree
e94a2d23b1,I think the content on the website clearly communicated the concepts,Agree
e94a2d23b1,I think the instructors clearly communicated the concepts,Agree
e94a2d23b1,I think there was good alignment between the learning activities,Agree
e94a2d23b1,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
e94a2d23b1,"In general, I think this is a good course",Strongly agree
fcea118120,I think I learned a lot from this course,Strongly agree
fcea118120,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
fcea118120,I think the content on the website clearly communicated the concepts,Strongly agree
fcea118120,I think the instructors clearly communicated the concepts,Neutral
fcea118120,I think there was good alignment between the learning activities,Agree
fcea118120,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
fcea118120,"In general, I think this is a good course",Strongly agree
c615cb9327,I think I learned a lot from this course,Strongly agree
c615cb9327,I think there was a good mix of learning activities that encouraged my active participation,Agree
c615cb9327,I think the content on the website clearly communicated the concepts,Strongly agree
c615cb9327,I think the instructors clearly communicated the concepts,Strongly agree
c615cb9327,I think there was good alignment between the learning activities,Agree
c615cb9327,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
c615cb9327,"In general, I think this is a good course",Strongly agree
47e7292b15,I think I learned a lot from this course,Strongly agree
47e7292b15,I think there was a good mix of learning activities that encouraged my active participation,Agree
47e7292b15,I think the content on the website clearly communicated the concepts,Agree
47e7292b15,I think the instructors clearly communicated the concepts,Agree
47e7292b15,I think there was good alignment between the learning activities,Agree
47e7292b15,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
47e7292b15,"In general, I think this is a good course",Strongly agree
4852540ee4,I think I learned a lot from this course,Strongly agree
4852540ee4,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
4852540ee4,I think the content on the website clearly communicated the concepts,Strongly agree
4852540ee4,I think the instructors clearly communicated the concepts,Strongly agree
4852540ee4,I think there was good alignment between the learning activities,Strongly agree
4852540ee4,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
4852540ee4,"In general, I think this is a good course",Strongly agree
4ab60ff961,I think I learned a lot from this course,Strongly agree
4ab60ff961,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
4ab60ff961,I think the content on the website clearly communicated the concepts,Strongly agree
4ab60ff961,I think the instructors clearly communicated the concepts,Strongly agree
4ab60ff961,I think there was good alignment between the learning activities,Strongly agree
4ab60ff961,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
4ab60ff961,"In general, I think this is a good course",Strongly agree
5ebf72386e,I think I learned a lot from this course,Neutral
5ebf72386e,I think there was a good mix of learning activities that encouraged my active participation,Agree
5ebf72386e,I think the content on the website clearly communicated the concepts,Agree
5ebf72386e,I think the instructors clearly communicated the concepts,Agree
5ebf72386e,I think there was good alignment between the learning activities,Agree
5ebf72386e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
5ebf72386e,"In general, I think this is a good course",Neutral
d719038cfa,I think I learned a lot from this course,Agree
d719038cfa,I think there was a good mix of learning activities that encouraged my active participation,Agree
d719038cfa,I think the content on the website clearly communicated the concepts,Agree
d719038cfa,I think the instructors clearly communicated the concepts,Neutral
d719038cfa,I think there was good alignment between the learning activities,Neutral
d719038cfa,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
d719038cfa,"In general, I think this is a good course",Agree
4096dcbe47,I think I learned a lot from this course,Agree
4096dcbe47,I think there was a good mix of learning activities that encouraged my active participation,Agree
4096dcbe47,I think the content on the website clearly communicated the concepts,Agree
4096dcbe47,I think the instructors clearly communicated the concepts,Agree
4096dcbe47,I think there was good alignment between the learning activities,Agree
4096dcbe47,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
4096dcbe47,"In general, I think this is a good course",Strongly agree
99dc02c1e7,I think I learned a lot from this course,Strongly agree
99dc02c1e7,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
99dc02c1e7,I think the content on the website clearly communicated the concepts,Strongly agree
99dc02c1e7,I think the instructors clearly communicated the concepts,Agree
99dc02c1e7,I think there was good alignment between the learning activities,Strongly agree
99dc02c1e7,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
99dc02c1e7,"In general, I think this is a good course",Strongly agree
fbe50d6860,I think I learned a lot from this course,Strongly agree
fbe50d6860,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
fbe50d6860,I think the content on the website clearly communicated the concepts,Strongly agree
fbe50d6860,I think the instructors clearly communicated the concepts,Strongly agree
fbe50d6860,I think there was good alignment between the learning activities,Strongly agree
fbe50d6860,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
fbe50d6860,"In general, I think this is a good course",Strongly agree
c70d9eb0bc,I think I learned a lot from this course,Strongly agree
c70d9eb0bc,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
c70d9eb0bc,I think the content on the website clearly communicated the concepts,Strongly agree
c70d9eb0bc,I think the instructors clearly communicated the concepts,Strongly agree
c70d9eb0bc,I think there was good alignment between the learning activities,Strongly agree
c70d9eb0bc,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
c70d9eb0bc,"In general, I think this is a good course",Strongly agree
6ebe8b8c0f,I think I learned a lot from this course,Agree
6ebe8b8c0f,I think there was a good mix of learning activities that encouraged my active participation,Agree
6ebe8b8c0f,I think the content on the website clearly communicated the concepts,Strongly agree
6ebe8b8c0f,I think the instructors clearly communicated the concepts,Strongly agree
6ebe8b8c0f,I think there was good alignment between the learning activities,Agree
6ebe8b8c0f,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
6ebe8b8c0f,"In general, I think this is a good course",Agree
0e431c9029,I think I learned a lot from this course,Neutral
0e431c9029,I think there was a good mix of learning activities that encouraged my active participation,Disagree
0e431c9029,I think the content on the website clearly communicated the concepts,Neutral
0e431c9029,I think the instructors clearly communicated the concepts,Neutral
0e431c9029,I think there was good alignment between the learning activities,Strongly agree
0e431c9029,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
0e431c9029,"In general, I think this is a good course",Agree
f3e2a9b8b9,I think I learned a lot from this course,Strongly agree
f3e2a9b8b9,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
f3e2a9b8b9,I think the content on the website clearly communicated the concepts,Strongly agree
f3e2a9b8b9,I think the instructors clearly communicated the concepts,Strongly agree
f3e2a9b8b9,I think there was good alignment between the learning activities,Strongly agree
f3e2a9b8b9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
f3e2a9b8b9,"In general, I think this is a good course",Strongly agree
